asset_code,asset_type,maitu_type,maitu_subtype,file_role,original_relative_path,new_relative_path,original_filename,new_filename,title,original_extension,canonical_extension,maitu_material_id_guess,size_bytes
AG-IMG-20260709-000001,IMG,数字分身,数字分身成品,image,数字分身\数字分身成品\37200_张裕定制形象260519.png,数字分身\数字分身成品\AG-IMG-20260709-000001_张裕定制形象260519.png,37200_张裕定制形象260519.png,AG-IMG-20260709-000001_张裕定制形象260519.png,张裕定制形象260519,.png,.png,37200,1452253
AG-IMG-20260709-000002,IMG,数字分身,数字分身成品,image,数字分身\数字分身成品\37200_张裕定制形象260519\37200_张裕定制形象260519_cover.png,数字分身\数字分身成品\37200_张裕定制形象260519\AG-IMG-20260709-000002_张裕定制形象260519_封面.png,37200_张裕定制形象260519_cover.png,AG-IMG-20260709-000002_张裕定制形象260519_封面.png,张裕定制形象260519_封面,.png,.png,37200,1452253
AG-IMG-20260709-000003,IMG,数字分身,数字分身成品,image,数字分身\数字分身成品\40222_明月.png,数字分身\数字分身成品\AG-IMG-20260709-000003_明月.png,40222_明月.png,AG-IMG-20260709-000003_明月.png,明月,.png,.png,40222,1834311
AG-IMG-20260709-000004,IMG,数字分身,数字分身成品,image,数字分身\数字分身成品\40222_明月\40222_明月_cover.png,数字分身\数字分身成品\40222_明月\AG-IMG-20260709-000004_明月_封面.png,40222_明月_cover.png,AG-IMG-20260709-000004_明月_封面.png,明月_封面,.png,.png,40222,1834311
AG-IMG-20260709-000005,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\7717_Y26定制_cover_url.png,数字分身\模特\7717_Y26定制\AG-IMG-20260709-000005_Y26定制_封面.png,7717_Y26定制_cover_url.png,AG-IMG-20260709-000005_Y26定制_封面.png,Y26定制_封面,.png,.png,7717,1452253
AG-IMG-20260709-000006,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\分段封面\00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_cover.png,数字分身\模特\7717_Y26定制\分段封面\AG-IMG-20260709-000006_00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_封面.png,00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_cover.png,AG-IMG-20260709-000006_00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_封面.png,00_1477321 张裕 多名利特选窖藏 干红葡萄酒 750ml6瓶 整箱装 赤霞珠 全00221834_封面,.png,.png,,1452253
AG-IMG-20260709-000007,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\分段封面\01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_cover.png,数字分身\模特\7717_Y26定制\分段封面\AG-IMG-20260709-000007_01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_封面.png,01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_cover.png,AG-IMG-20260709-000007_01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_封面.png,01_100029935774 张裕 九代解百纳N158 干红葡萄酒 750ml2瓶 红酒礼盒 全00218094_封面,.png,.png,,1825214
AG-IMG-20260709-000008,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\分段封面\02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_cover.png,数字分身\模特\7717_Y26定制\分段封面\AG-IMG-20260709-000008_02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_封面.png,02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_cover.png,AG-IMG-20260709-000008_02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_封面.png,02_100014757963 张裕 九代解百纳1937 干红葡萄酒 750ml6瓶 整箱装 全00214434_封面,.png,.png,,1445619
AG-IMG-20260709-000009,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\分段封面\03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_cover.png,数字分身\模特\7717_Y26定制\分段封面\AG-IMG-20260709-000009_03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_封.png,03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_cover.png,AG-IMG-20260709-000009_03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_封.png,03_100164837228 张裕 九代解百纳 品酒大师super 干红葡萄酒 750ml 单瓶装 全2_00210690_封,.png,.png,,1437683
AG-IMG-20260709-000010,IMG,数字分身,模特,image,数字分身\模特\7717_Y26定制\分段封面\04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_cover.png,数字分身\模特\7717_Y26定制\分段封面\AG-IMG-20260709-000010_04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_封面.png,04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_cover.png,AG-IMG-20260709-000010_04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_封面.png,04_100164837194 张裕 品酒大师master 750ml6瓶箱装 全2_00207038_封面,.png,.png,,1470083
